"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"International Journal of Plasma Environmental Science and Technology";2,5;"44.0%
129/233
General Environmental Science";189;77;58;0,492;0,266;"Institute of Electrostatics Japan"
"Russian Electronic Journal of Radiology";0,6;"15.0%
283/333
Radiology, Nuclear Medicine and Imaging";189;318;31;0,187;0,162;"Russian Electronic Journal of Radiology"
"Informatika i ee Primeneniya";0,8;"15.0%
534/635
Applied Mathematics";189;226;43;0,324;0,219;"Federal Research Center ""Computer Science and Control"" of Russian Academy of Sciences"
"Acta Societatis Botanicorum Poloniae";2;"43.0%
291/516
Plant Science";189;94;60;0,402;0,285;"Polish Botanical Society"
"Sahand Communications in Mathematical Analysis";1,2;"31.0%
133/193
Analysis";189;164;45;0,606;0,264;"University of Maragheh"
"Wiadomosci Konserwatorskie";0,9;"66.0%
35/103
Conservation";189;214;29;0,472;0,265;"Zarzad Glowny Stowarzyszenia Konserwatorow Zabytkow"
"JAMS Journal of Acupuncture and Meridian Studies";1,5;"43.0%
78/136
Anesthesiology and Pain Medicine";189;122;48;0,391;0,255;"Medical Association of pharmacopuncture Institute"
"International Journal of Health Care Quality Assurance";4;"65.0%
107/310
Health Policy";189;47;81;0,807;0,347;"Emerald Publishing"
"Genes and Genetic Systems";1,5;"11.0%
306/347
Genetics";190;127;54;0,265;0,289;"Genetics Society of Japan"
"Journal of Air Transportation";2,8;"58.0%
46/109
Safety Research";190;67;73;1,212;0,401;"American Institute of Aeronautics and Astronautics"
"Paedagogica Historica";0,9;"81.0%
323/1760
History";190;216;44;0;0,18;"Taylor & Francis"
"American Journal of Clinical Hypnosis";2;"46.0%
57/105
Complementary and Alternative Medicine";190;97;63;0,583;0,327;"Taylor & Francis"
"Psychiatry Research Communications";1,4;"25.0%
421/567
Psychiatry and Mental Health";190;140;47;0,479;"N/A";"Elsevier"
"Fat Studies";1,8;"85.0%
195/1304
Cultural Studies";190;107;50;1,288;0,34;"Taylor & Francis"
"Foundations of Computing and Decision Sciences";2,2;"39.0%
141/232
General Computer Science";190;87;52;0,457;0,268;"Walter de Gruyter"
"Intelligenza Artificiale";3,5;"43.0%
200/350
Artificial Intelligence";190;54;61;0,678;0,679;"IOS Press"
"Acta Astronomica";3,4;"56.0%
40/90
Astronomy and Astrophysics";190;56;57;0,44;0,687;"Copernicus Foundation for Polish Astronomy"
"Justice Evaluation Journal";3,4;"90.0%
103/1025
Law";190;56;70;0,85;0,599;"Taylor & Francis"
"Journal of Pediatric Neurosciences";1,1;"33.0%
220/330
Pediatrics, Perinatology and Child Health";190;168;45;0,507;0,201;"Wolters Kluwer Health"
"Education, Citizenship and Social Justice";2,4;"55.0%
685/1543
Education";190;79;73;0,901;0,406;"SAGE"
"Fashion Practice";2,2;"95.0%
30/667
Visual Arts and Performing Arts";190;85;60;0,615;0,381;"Taylor & Francis"
"Historical Archaeology";1,1;"87.0%
216/1760
History";190;166;32;0,995;0,377;"Society for Historical Archaeology"
"Canadian Journal of Program Evaluation";1,6;"55.0%
124/280
Library and Information Sciences";190;118;55;0,525;0,485;"Canadian Journal of Program Evaluation"
"GeoHazards";2,6;"45.0%
127/233
General Environmental Science";190;74;66;0,559;"N/A";"Multidisciplinary Digital Publishing Institute (MDPI)"
"Zhidkie Kristally i Ikh Prakticheskoe Ispol'zovanie";1,3;"30.0%
137/196
Materials Science (miscellaneous)";190;152;51;0,406;0,2;"Ivanovo State University"
"Biological Communications";1,7;"48.0%
113/221
General Agricultural and Biological Sciences";190;114;49;0,686;0,215;"Saint Petersburg State University"
"Professional and Practice-based Learning";1,2;"33.0%
1022/1543
Education";190;157;42;"N/A";"N/A";"Springer Nature"
"Lithology and Mineral Resources";1,3;"36.0%
28/43
Economic Geology";190;143;52;0,51;0,263;"Pleiades Publishing"
"Iranian Journal of Psychiatry and Clinical Psychology";1,5;"32.0%
210/311
Clinical Psychology";190;131;47;0,417;0,3;"Iran University of Medical Sciences"
"Russian Journal of Nonlinear Dynamics";1,2;"26.0%
63/85
Mathematical Physics";190;165;46;0,472;0,26;"Institute of Computer Science Izhevsk"
"Journal of Psychosocial Rehabilitation and Mental Health";1,3;"41.0%
94/161
Rehabilitation";190;143;47;0,475;0,328;"Springer Nature"
"Apunts Sports Medicine";2,6;"54.0%
113/247
Physical Therapy, Sports Therapy and Rehabilitation";190;72;57;0,599;0,349;"Generalitat de Catalunya, Department de la Presidencia, Secretaria General de l Esport"
"Miznarodnij Endokrinologicnij Zurnal";0,5;"15.0%
177/208
Pathology and Forensic Medicine";190;361;30;0,117;0,125;"Zaslavsky Publishing House"
"Clinica y Salud";2,8;"51.0%
150/311
Clinical Psychology";190;67;67;0,745;0,503;"Colegio Oficial de la Psicologia de Madrid"
"Texas Law Review";1,4;"66.0%
343/1025
Law";191;133;49;1,233;0,241;"University of Texas at Austin"
"Forensic Science International: Mind and Law";3;"86.0%
144/1025
Law";191;64;67;0,915;0,386;"Elsevier"
"INFOR";2,6;"42.0%
119/207
Management Science and Operations Research";191;74;65;0,536;0,348;"Taylor & Francis"
"Current Research in Insect Science";3,2;"71.0%
139/490
Animal Science and Zoology";191;59;64;0,727;0,493;"Elsevier"
"English Teaching";1,4;"76.0%
252/1088
Language and Linguistics";191;133;61;0,527;0,364;"Emerald Publishing"
"Welding Journal";3;"62.0%
66/176
Metals and Alloys";191;64;53;0,795;0,473;"American Welding Society"
"British Journal of Aesthetics";1,6;"83.0%
136/806
Philosophy";191;116;58;1,018;0,46;"Oxford University Press"
"Multimedia manual of cardiothoracic surgery : MMCTS / European Association for Cardio-Thoracic Surgery";0,6;"34.0%
417/636
General Medicine";191;295;33;"N/A";0,163;"Oxford University Press"
"Chelonian Conservation and Biology";1,7;"40.0%
291/490
Animal Science and Zoology";191;115;66;0,708;0,278;"Chelonian Research Foundation"
"Mljekarstvo";1,9;"47.0%
258/490
Animal Science and Zoology";191;99;65;0,456;0,283;"Hrvatska Mljekarska Udruga"
"Economics, Law, and Institutions in Asia Pacific";1,3;"64.0%
366/1025
Law";191;142;44;"N/A";"N/A";"Springer Nature"
"Theoretical and Empirical Researches in Urban Management";2,5;"65.0%
96/279
Urban Studies";191;77;61;0,843;0,279;"Research Centre in Public Administration and Public Services"
"Journal of Economic Growth";3,7;"65.0%
249/716
Economics and Econometrics";191;52;73;1,171;1,451;"Springer Nature"
"International Journal of Thermodynamics";1,5;"35.0%
198/307
General Engineering";191;128;52;0,439;0,228;"International Journal of Thermodynamics"
"International Journal of Kinesiology and Sports Science";1,8;"39.0%
150/247
Physical Therapy, Sports Therapy and Rehabilitation";191;107;61;0,448;0,3;"Australian International Academic Centre PTY LTD"
"Journal of Nephropathology";1,3;"27.0%
59/81
Nephrology";191;148;34;0,171;0,153;"Society of Diabetic Nephropathy Prevention"
"Acta Agrobotanica";2,9;"58.0%
214/516
Plant Science";191;66;76;0,668;0,298;"Polish Botanical Society"
"Future Cities and Environment";3,1;"83.0%
31/189
Architecture";191;62;60;0,642;0,515;"Ubiquity Press"
"Journal of Public and Nonprofit Affairs";2,4;"67.0%
476/1466
Sociology and Political Science";191;79;81;0,672;0,443;"Midwest Public Affairs Conference"
"Revista de Administracao Mackenzie";1,3;"50.0%
725/1466
Sociology and Political Science";191;148;46;0,363;0,206;"Mackenzie Presbyterian University"
"Iranian Journal of Medical Physics";1;"21.0%
261/333
Radiology, Nuclear Medicine and Imaging";191;194;37;0,324;0,173;"Mashhad University of Medical Sciences"
"Asia Oceania Journal of Nuclear Medicine and Biology";1,8;"45.0%
219/398
Medicine (miscellaneous)";191;107;63;0,5;0,249;"Mashhad University of Medical Sciences"
"Indian Journal of Research in Homoeopathy";1,6;"36.0%
67/105
Complementary and Alternative Medicine";191;119;82;0,283;0,279;"Central Council for Research in Homoeopathy"
"International Journal of Management in Education";1,6;"41.0%
904/1543
Education";191;123;54;0,438;0,244;"Inderscience Publishers"
"Kovove Materialy";1,2;"34.0%
116/176
Metals and Alloys";191;157;55;0,264;0,195;"Institute of Materials and Machine Mechanics, Slovak Academy of Sciences"
"Plastic and Aesthetic Nursing";1,2;"48.0%
14/26
Medical and Surgical Nursing";191;164;62;0,186;0,154;"Wolters Kluwer Health"
"Perfiles Educativos";0,9;"25.0%
1151/1543
Education";192;213;35;0,616;0,234;"Universidad Nacional Autonoma de Mexico"
"Nephrologie et Therapeutique";0,8;"21.0%
64/81
Nephrology";192;236;32;0,473;0,193;"John Libbey & Co. Ltd."
"International Finance";2,5;"58.0%
127/306
Development";192;76;54;0,754;0,519;"John Wiley & Sons"
"International Journal of Therapy and Rehabilitation";0,8;"30.0%
112/161
Rehabilitation";192;235;38;0,243;0,197;"Mark Allen Publishing Ltd."
"Journal of Transformative Education";2,2;"52.0%
730/1543
Education";192;86;70;1,415;0,374;"SAGE"
"Business and Professional Communication Quarterly";2,4;"72.0%
153/552
Arts and Humanities (miscellaneous)";192;81;57;0,971;0,301;"SAGE"
"Journal of Government and Economics";3,2;"72.0%
67/242
Economics, Econometrics and Finance (miscellaneous)";192;60;92;1,831;"N/A";"Elsevier"
"Social Service Review";2,6;"69.0%
445/1466
Sociology and Political Science";192;74;66;0,943;0,453;"University of Chicago Press"
"Proceedings - Symposium on Computer Arithmetic";2,4;"42.0%
75/130
Theoretical Computer Science";192;80;54;0,981;0,262;"IEEE"
"Gosudarstvo i Pravo";0,3;"19.0%
820/1025
Law";192;703;14;0,996;0,19;"Russian Academy of Sciences"
"Silvae Genetica";2,2;"56.0%
76/174
Forestry";192;87;63;0,547;0,248;"J.D. Sauerlander Verlag"
"Hearing, Balance and Communication";1,1;"38.0%
76/123
Otorhinolaryngology";192;173;44;0,312;0,211;"Wolters Kluwer Health"
"International Journal of Care Coordination";3,1;"63.0%
15/40
Leadership and Management";192;62;100;0,462;0,289;"SAGE"
"Journal of Social History";1,5;"91.0%
147/1760
History";192;131;48;1,839;0,189;"Oxford University Press"
"Q Open";2,1;"58.0%
102/242
Economics, Econometrics and Finance (miscellaneous)";192;92;61;0,521;0,439;"Oxford University Press"
"Mastozoologia Neotropical";1,5;"38.0%
304/490
Animal Science and Zoology";192;124;50;0,284;0,229;"SAREM Sociedad Argentina para el Estudio de los Mamiferos"
"South African Journal of Enology and Viticulture";2,5;"60.0%
46/115
Horticulture";192;77;65;0,558;0,286;"South African Society for Enology and Viticulture"
"Neotropical Biology and Conservation";1,7;"47.0%
95/181
Insect Science";192;113;59;0,448;0,291;"Unisinos"
"Revue de Micropaleontologie";2,5;"50.0%
57/113
Paleontology";192;76;67;0,48;0,316;"Elsevier"
"Siberian Journal of Oncology";0,4;"13.0%
348/404
Oncology";192;429;27;0,191;0,125;"Tomsk National Research Medical Center of the Russian Academy of Sciences"
"Journal of Women's Entrepreneurship and Education";2,1;"66.0%
72/213
Gender Studies";192;91;66;0,695;0,303;"Institute of Economic Sciences"
"Revista Eureka";1,3;"35.0%
989/1543
Education";192;149;46;0,758;0,33;"Universidad de Cadiz"
"Review of Integrative Business and Economics Research";1,2;"42.0%
140/242
Economics, Econometrics and Finance (miscellaneous)";192;155;45;0,386;0,171;"GMP Press & Printing Co."
"Accounting, Finance, Sustainability, Governance and Fraud";0,6;"11.0%
156/176
Accounting";192;325;29;"N/A";"N/A";"Springer Nature"
"Jurnal Ilmiah Peuradeun";1;"86.0%
87/644
Religious Studies";192;188;55;0,668;0,202;"SCAD Independent"
"Advances in Hospitality and Tourism Research";2,3;"53.0%
142/306
Development";192;84;55;0,527;0,309;"Akdeniz University Publishing House"
"Perspectives on Science";1,7;"80.0%
43/223
History and Philosophy of Science";192;112;58;0,782;0,333;"MIT Press"
"ITE Transactions on Media Technology and Applications";1,7;"52.0%
30/63
Media Technology";193;112;48;0,497;0,24;"Institute of Image Information and Television Engineers"
"Cliometrica";2,7;"97.0%
49/1760
History";193;71;65;1,172;0,846;"Springer Nature"
"Orthopaedics and Trauma";1;"26.0%
237/321
Orthopedics and Sports Medicine";193;186;39;0,264;0,201;"Elsevier"
"History of Political Economy";1,2;"88.0%
209/1760
History";193;166;48;1,158;0,463;"Duke University Press"
"Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science";1,1;"41.0%
233/399
General Mathematics";193;171;42;0,372;0,194;"Publishing House of the Romanian Academy"
"Counseling Outcome Research and Evaluation";4,5;"72.0%
59/216
General Psychology";193;43;67;0,884;0,424;"Taylor & Francis"
"Journal of Media Ethics: Exploring Questions of Media Morality";2,1;"87.0%
103/806
Philosophy";193;91;45;0,625;0,444;"Taylor & Francis"
"Journal of Psychedelic Studies";2,5;"81.0%
92/502
Anthropology";193;76;57;0,553;0,503;"Akademiai Kiado"
"South Asian Journal of Cancer";1;"24.0%
306/404
Oncology";193;189;40;0,512;0,222;"Thieme"
"Translation and Interpreting Studies";2,1;"98.0%
16/1106
Literature and Literary Theory";193;92;50;1,481;0,501;"John Benjamins Publishing Company"
"Journal of EMDR Practice and Research";2,4;"40.0%
336/567
Psychiatry and Mental Health";193;79;48;0,442;0,369;"Springer Publishing Company"
"Journal of Microwave Power and Electromagnetic Energy";2,5;"57.0%
76/176
Metals and Alloys";193;77;57;0,45;0,231;"Taylor & Francis"
"Current Ophthalmology Reports";2;"44.0%
76/137
Ophthalmology";193;95;56;0,38;0,367;"Springer Nature"
"Italian Botanist";2,8;"57.0%
222/516
Plant Science";193;69;72;0,649;0,394;"Pensoft Publishers"
"Law and Critique";2,3;"79.0%
212/1025
Law";193;85;54;1,06;0,328;"Springer Nature"
"Journal of Urban Mobility";2,9;"62.0%
311/821
Geography, Planning and Development";193;67;75;0,858;"N/A";"Elsevier"
"Michigan Mathematical Journal";1,2;"45.0%
217/399
General Mathematics";193;159;53;1,355;0,91;"University of Michigan"
"JMV-Journal de Medecine Vasculaire";2,4;"40.0%
232/387
Cardiology and Cardiovascular Medicine";193;81;59;0,39;0,316;"Elsevier"
"Vestnik Transplantologii i Iskusstvennykh Organov";0,7;"23.0%
42/54
Transplantation";193;289;32;0,255;0,183;"Russian Transplant Society"
"Korean Journal of Neurotrauma";1,1;"38.0%
342/551
Surgery";193;181;51;0,533;0,229;"Korean Neurotraumatology Society"
"Korean Journal of Plant Taxonomy";1,5;"30.0%
357/516
Plant Science";193;133;49;0,665;0,254;"Korean Society of Plant Taxonomists"
"Vestnik Archeologii, Antropologii i Etnografii";0,7;"60.0%
165/413
Archeology (arts and humanities)";193;294;34;0,891;0,562;"Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences"
"Chinese Journal of Clinical Infectious Diseases";0,7;"14.0%
294/344
Infectious Diseases";193;293;23;0,125;0,133;"Chinese Medical Journals Publishing House Co.Ltd"
"Infectious Diseases: News, Opinions, Training";0,7;"20.0%
1232/1543
Education";193;270;29;0,14;0,123;"Geotar Media Publishing Group"
"Vestnik Urologii/Urology Herald";0,7;"25.0%
90/120
Urology";193;275;39;0,436;0,168;"Rostovskii Gosudarstvennyi Meditsinskii Universitet"
"Textile and Leather Review";1,6;"38.0%
236/384
Industrial and Manufacturing Engineering";193;120;43;0,579;0,26;"idd3"
"EconomiA";3,9;"76.0%
57/242
Economics, Econometrics and Finance (miscellaneous)";193;49;80;1,53;0,398;"Emerald Publishing"
"International Journal of Learning and Change";1,4;"38.0%
957/1543
Education";193;139;45;0,368;0,194;"Inderscience Publishers"
"Anthropocene Coasts";3,8;"69.0%
65/211
Nature and Landscape Conservation";193;51;57;0,65;0,596;"Springer Nature"
"Psychology, Society and Education";1,5;"54.0%
665/1466
Sociology and Political Science";193;133;59;0,27;0,227;"UCOPress. Editorial Universidad de Cordoba"
"Journal of Engineering for Sustainable Buildings and Cities";2,4;"80.0%
38/189
Architecture";194;81;63;0,385;0,336;"American Society of Mechanical Engineers"
"Journal of Post Keynesian Economics";1,7;"36.0%
454/716
Economics and Econometrics";194;112;54;0,984;0,378;"Taylor & Francis"
"Clinical Neuropathology";1,6;"31.0%
143/208
Pathology and Forensic Medicine";194;122;52;0,192;0,266;"Dustri-Verlag Dr. Karl Feistle"
"Alternative Law Journal";1,1;"55.0%
459/1025
Law";194;184;38;"N/A";0,182;"SAGE"
"Australian and New Zealand Journal of Family Therapy";1,6;"57.0%
628/1466
Sociology and Political Science";194;122;61;0,659;0,277;"Australian Academic Press"
"Cirugia pediatrica : organo oficial de la Sociedad Espanola de Cirugia Pediatrica";1,4;"54.0%
288/636
General Medicine";194;135;54;"N/A";0,238;"Elsevier"
"European Journal of Anatomy";0,6;"30.0%
34/48
Anatomy";194;299;35;0,227;0,177;"Sociedad Anatomica Espanola"
"Proteome Science";2,9;"27.0%
320/438
Biochemistry";194;66;70;0,43;0,495;"Springer Nature"
"Optica Applicata";1;"13.0%
246/284
Electronic, Optical and Magnetic Materials";194;195;41;0,266;0,187;"Technical University of Wroclaw"
"CALICO Journal";3,1;"88.0%
124/1088
Language and Linguistics";194;63;62;0,78;0,714;"Equinox Publishing Ltd"
"Teaching Mathematics and its Applications";2,4;"78.0%
86/399
General Mathematics";194;81;77;1,002;0,883;"Oxford University Press"
"Index de Enfermeria";0,9;"60.0%
88/223
History and Philosophy of Science";194;223;36;0,464;0,206;"Fundacion Index"
"Acta Entomologica Musei Nationalis Pragae";1,6;"42.0%
104/181
Insect Science";194;122;61;0,695;0,442;"National Museum/Narodni muzeum"
"Journal of Transport and Supply Chain Management";2;"45.0%
209/384
Industrial and Manufacturing Engineering";194;97;59;0,486;0,278;"OpenJournals Publishing AOSIS (Pty) Ltd"
"Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine";0,6;"7.0%
204/221
General Biochemistry, Genetics and Molecular Biology";194;302;32;0,288;0,161;"Slovo Ltd"
"Advances in Electrical and Electronic Engineering";1,3;"25.0%
598/797
Electrical and Electronic Engineering";194;147;54;0,404;0,176;"VSB-Technical University of Ostrava"
"Electronic Journal of Graph Theory and Applications";1,2;"41.0%
54/92
Discrete Mathematics and Combinatorics";194;166;46;0,704;0,501;"Indonesian Combinatorics Society"
"Journal of Micropalaeontology";4,3;"84.0%
18/113
Paleontology";194;45;71;1,583;1,11;"Copernicus Publications"
"Problems of Information Transmission";2;"30.0%
274/395
Computer Networks and Communications";194;99;55;0,633;0,451;"Pleiades Publishing"
"International Journal of Language Testing";2,3;"85.0%
163/1088
Language and Linguistics";194;83;64;1,602;0,384;"Tabaran Institute of Higher Education (Iran Ministry of Sciences)"
"Advanced Control for Applications: Engineering and Industrial Systems";2,6;"43.0%
182/321
Control and Systems Engineering";194;76;64;0,553;0,439;"John Wiley & Sons"
"Iranian Endodontic Journal";1,3;"32.0%
90/132
General Dentistry";194;154;45;0,647;0,256;"Iranian Centre for Endodontic Research"
"Developments in Mathematics";1;"34.0%
261/399
General Mathematics";195;195;19;"N/A";"N/A";"Springer Nature"
"Geociencias";0,7;"17.0%
161/195
General Earth and Planetary Sciences";195;287;34;0,303;0,256;"Universidade Estadual Paulista (UNESP)"
"Economic Notes";3,3;"60.0%
285/716
Economics and Econometrics";195;60;55;0,786;0,35;"John Wiley & Sons"
"Desenvolvimento e Meio Ambiente";0,6;"15.0%
691/821
Geography, Planning and Development";195;321;27;0,305;0,174;"Universidade Federal do Parana"
"State and Local Government Review";2,1;"68.0%
220/706
Political Science and International Relations";195;93;55;0,718;0,528;"SAGE"
"NORMA";3;"75.0%
52/213
Gender Studies";195;66;68;1,14;0,457;"Taylor & Francis"
"BMJ Surgery, Interventions, and Health Technologies";2,8;"61.0%
211/551
Surgery";195;70;73;0,731;0,537;"BMJ Publishing Group"
"Perspectives: Policy and Practice in Higher Education";2,5;"57.0%
654/1543
Education";195;78;59;0,923;0,392;"Taylor & Francis"
"Journal of Algebraic Geometry";2,7;"88.0%
14/119
Algebra and Number Theory";195;72;69;1,598;1,787;"American Mathematical Society"
"International Journal of Web and Grid Services";2,4;"38.0%
245/395
Computer Networks and Communications";195;80;66;0,462;0,424;"Inderscience Publishers"
"Journal of Dance Medicine and Science";1,8;"65.0%
59/171
";195;110;59;0,84;0,401;"SAGE"
"International Journal of Heavy Vehicle Systems";1,3;"32.0%
85/125
Automotive Engineering";195;154;46;0,629;0,259;"Inderscience Publishers"
"ARP Rheumatology";1,2;"23.0%
56/73
Rheumatology";195;168;42;0,3;0,224;"Sociedade Portuguesa de Reumatologia"
"Telemedicine Reports";1,8;"45.0%
218/398
Medicine (miscellaneous)";195;108;55;0,553;0,443;"Mary Ann Liebert"
"Journal of Antitrust Enforcement";1,3;"63.0%
374/1025
Law";195;148;46;0,484;0,201;"Oxford University Press"
"Focaal";2;"75.0%
121/502
Anthropology";195;100;66;0,841;0,436;"Katholieke Universiteit, Instituut voor Culturele en Sociale Antropologie, University Of Nijmegen"
"Journal of Systems Science and Information";1,3;"44.0%
161/288
General Economics, Econometrics and Finance";195;152;39;0,35;0,237;"Science China Press"
"Journal of Population Research";2,3;"69.0%
43/139
Demography";195;84;62;0,767;0,5;"Springer Nature"
